CÓDIGO	LARGURA	COMPRIMENTO	BITOLA	CLASSE	ESPECIFICAÇÃO	QUALIDADE	ITEM	PEÇA (M3)	PEÇA (PLT)	SITUAÇÃO
ACB0704	0,618	2,400	15	TABLEROS PLY	T&G2	 - BG	TABLEROS PLY 15MM T&G2 0,618 X 2,400 - BG	0,02224800	68,0000	ATIVO
ACB0692	0,618	2,400	12	TABLEROS PLY	T&G2	 - BG	TABLEROS PLY 12MM T&G2 0,618 X 2,400 - BG	0,01779840	85,0000	ATIVO
ACB0355	1,220	2,440	12	TABLEROS PLY		 - BG	TABLEROS PLY 12MM 1,220 X 2,440 - BG	0,03572160	75,0000	ATIVO
ACB0513	0,618	2,400	15	TABLEROS PLY	T&G2	 - SG	TABLEROS PLY 15MM T&G2 0,618 X 2,400 - SG	0,02224800	68,0000	ATIVO
ACB0507	0,618	2,400	12	TABLEROS PLY	T&G2	 - SG	TABLEROS PLY 12MM T&G2 0,618 X 2,400 - SG	0,01779840	85,0000	ATIVO
ACB0447	0,620	2,400	15	TABLEROS PLY		 - SG	TABLEROS PLY 15MM 0,620 X 2,400 - SG	0,02232000	68,0000	ATIVO
ACB0360	0,620	2,400	15	TABLEROS PLY		 - BG	TABLEROS PLY 15MM 0,620 X 2,400 - BG	0,02232000	68,0000	ATIVO
ACB0866	0,560	2,400	12	TABLEROS PLY	T&G2	 - BG	TABLEROS PLY 12MM T&G2 0,560 X 2,400 - BG	0,01612800	68,0000	ATIVO
ACB0040	1,220	2,440	22	TABLEROS PLY	9 PLY C+/C CE4		TABLEROS PLY 22MM 9 PLY C+/C CE4 1,220 X 2,440	0,06548960	42,0000	ATIVO
ACB0796	1,220	2,440	24	TABLEROS PLY	9 PLY C+/C CE2+ FSC UKCA		TABLEROS PLY 24MM 9 PLY C+/C CE2+ FSC UKCA 1,220 X 2,440	0,07144320	38,0000	ATIVO
ACB0409	1,220	2,440	24	TABLEROS PLY		 - BG	TABLEROS PLY 24MM 1,220 X 2,440 - BG	0,07144320	38,0000	ATIVO
ACB0735	0,610	2,440	09	TABLEROS PLY		 - BG	TABLEROS PLY 09MM 0,610 X 2,440 - BG	0,01339560	100,0000	ATIVO
ACB0705	0,590	2,440	18	TABLEROS PLY	T&G4	 - BG	TABLEROS PLY 18MM T&G4 0,590 X 2,440 - BG	0,02591280	50,0000	ATIVO
ACB0102	1,215	2,400	18	TABLEROS PLY		 - BG	TABLEROS PLY 18MM 1,215 X 2,400 - BG	0,05248800	50,0000	ATIVO
ACB0034	1,220	2,440	18	TABLEROS PLY	T&G2	 - BG	TABLEROS PLY 18MM T&G2 1,220 X 2,440 - BG	0,05358240	50,0000	ATIVO
ACB0818	1,250	2,400	12	TABLEROS PLY	EUCA	 - SG	TABLEROS PLY 12MM EUCA 1,250 X 2,400 - SG	0,03600000	75,0000	ATIVO
ACB0706	0,620	2,400	12	TABLEROS PLY		 - BG	TABLEROS PLY 12MM 0,620 X 2,400 - BG	0,01785600	85,0000	ATIVO
ACB0203	1,215	2,400	15	TABLEROS PLY		 - SG	TABLEROS PLY 15MM 1,215 X 2,400 - SG	0,04374000	60,0000	ATIVO
ACB0682	1,200	2,440	12	TABLEROS PLY		 - BG	TABLEROS PLY 12MM 1,200 X 2,440 - BG	0,03513600	75,0000	ATIVO
ACB0412	1,200	2,400	12	TABLEROS PLY	T&G2	 - BG	TABLEROS PLY 12MM T&G2 1,200 X 2,400 - BG	0,03456000	75,0000	ATIVO
ACB0640	1,200	2,400	15	TABLEROS PLY		 - BG	TABLEROS PLY 15MM 1,200 X 2,400 - BG	0,04320000	60,0000	ATIVO
ACB0032	1,220	2,440	09	TABLEROS PLY		 - BG	TABLEROS PLY 09MM 1,220 X 2,440 - BG	0,02679120	100,0000	ATIVO
ACB0670	1,220	2,440	24	TABLEROS PLY		 - SG	TABLEROS PLY 24MM 1,220 X 2,440 - SG	0,07144320	38,0000	ATIVO
ACB2014	1,200	2,400	18	TABLEROS PLY	COMBI IMUNIZADO WBP E1		TABLEROS PLY 18MM COMBI IMUNIZADO WBP E1 1,200 X 2,400	0,05184000	50,0000	ATIVO
ACB0342	1,200	2,400	15	TABLEROS PLY	COMBI IMUNIZADO WBP E1		TABLEROS PLY 15MM COMBI IMUNIZADO WBP E1 1,200 X 2,400	0,04320000	50,0000	ATIVO
ACB0353	1,200	2,400	12	TABLEROS PLY	COMBI IMUNIZADO WBP E1		TABLEROS PLY 12MM COMBI IMUNIZADO WBP E1 1,200 X 2,400	0,03456000	50,0000	ATIVO
ACB1038	1,200	2,400	10	TABLEROS PLY	COMBI IMUNIZADO WBP E1		TABLEROS PLY 10MM COMBI IMUNIZADO WBP E1 1,200 X 2,400	0,02880000	50,0000	ATIVO
ACB0460	1,220	2,455	21	TABLEROS PLY		 - BG	TABLEROS PLY 21MM 1,220 X 2,455 - BG	0,06289710	42,0000	ATIVO
ACB0729	1,250	2,400	12	TABLEROS PLY	EUCA	 - BG	TABLEROS PLY 12MM EUCA 1,250 X 2,400 - BG	0,03600000	75,0000	ATIVO
ACB0528	1,215	2,400	12	TABLEROS PLY		 - SG	TABLEROS PLY 12MM 1,215 X 2,400 - SG	0,03499200	75,0000	ATIVO
ACB0915	1,215	2,400	12	TABLEROS PLY		 - BG	TABLEROS PLY 12MM 1,215 X 2,400 - BG	0,03499200	75,0000	ATIVO
ACB0703	0,500	2,400	12	TABLEROS PLY	T&G2		TABLEROS PLY 12MM T&G2 0,500 X 2,400	0,01440000	85,0000	ATIVO
ACB0454	1,250	2,400	12	TABLEROS PLY		 - BG	TABLEROS PLY 12MM 1,250 X 2,400 - BG	0,03600000	75,0000	ATIVO
ACB0514	1,200	2,440	12	TABLEROS PLY	B/B OES		TABLEROS PLY 12MM B/B OES 1,200 X 2,440	0,03513600	75,0000	ATIVO
ACB0718	1,200	2,400	10	TABLEROS PLY		 - BG	TABLEROS PLY 10MM 1,200 X 2,400 - BG	0,02880000	50,0000	ATIVO
ACB0916	1,215	2,400	15	TABLEROS PLY		 - BG	TABLEROS PLY 15MM 1,215 X 2,400 - BG	0,04374000	60,0000	ATIVO
ACB0917	0,600	2,440	18	TABLEROS PLY	T&G4	 - BG	TABLEROS PLY 18MM T&G4 0,600 X 2,440 - BG	0,02635200	50,0000	ATIVO
ACB0918	0,605	2,440	18	TABLEROS PLY	T&G4	 - BG	TABLEROS PLY 18MM T&G4 0,605 X 2,440 - BG	0,02657160	50,0000	ATIVO
ACB0143	0,625	2,440	18	TABLEROS PLY	T&G CABECEIRA		TABLEROS PLY 18MM T&G CABECEIRA 0,625 X 2,440	0,02745000	50,0000	ATIVO
ACB0919	0,605	2,440	18	TABLEROS PLY	T&G CABECEIRA	 - BG	TABLEROS PLY 18MM T&G CABECEIRA 0,605 X 2,440 - BG	0,02657160	50,0000	ATIVO
ACB0661	1,250	2,440	18	TABLEROS PLY	T&G CABECEIRA		TABLEROS PLY 18MM T&G CABECEIRA 1,250 X 2,440	0,05490000	50,0000	ATIVO
ACB0078	0,580	2,400	12	TABLEROS PLY		 - BG	TABLEROS PLY 12MM 0,580 X 2,400 - BG	0,01670400	85,0000	ATIVO
ACB0805	1,200	2,460	12	TABLEROS PLY		 - BG	TABLEROS PLY 12MM 1,200 X 2,460 - BG	0,03542400	75,0000	ATIVO
ACB0127	0,898	2,500	15	TABLEROS PLY	EUCA	 - SG	TABLEROS PLY 15MM EUCA 0,898 X 2,500 - SG	0,03367500	60,0000	ATIVO
ACB0029	0,898	2,500	12	TABLEROS PLY	EUCA	 - SG	TABLEROS PLY 12MM EUCA 0,898 X 2,500 - SG	0,02694000	75,0000	ATIVO
